schema_version	experiment_id	profile	activation_id	event_code	clock_domain	timestamp_value	timestamp_unit	node
c2-timing-event-v1	C2	all	e6cc4fdaf3074b9f8c4fdaf307cb9fa3	DB510	unix_ns	1784739058812999936	ns	filtered-markers
c2-timing-event-v1	C2	all	d8ebe542d33d4bffabe542d33d6bff50	DB500	unix_ns	1784739059151000064	ns	filtered-markers
c2-timing-event-v1	C2	all	d8ebe542d33d4bffabe542d33d6bff50	DB510	unix_ns	1784739059164999936	ns	filtered-markers
c2-timing-event-v1	C2	all	2d6591e3b1204bb6a591e3b120cbb6a1	DB500	unix_ns	1784739059233999872	ns	filtered-markers
c2-timing-event-v1	C2	all	2d6591e3b1204bb6a591e3b120cbb6a1	DB510	unix_ns	1784739059246000128	ns	filtered-markers
c2-timing-event-v1	C2	all	209979954f10412f9979954f10812fb1	DB500	unix_ns	1784739059697999872	ns	filtered-markers
c2-timing-event-v1	C2	all	209979954f10412f9979954f10812fb1	DB510	unix_ns	1784739059711000064	ns	filtered-markers
c2-timing-event-v1	C2	all	f855e158d2ad416595e158d2ad316523	DB500	unix_ns	1784739059803000064	ns	filtered-markers
c2-timing-event-v1	C2	all	f855e158d2ad416595e158d2ad316523	DB510	unix_ns	1784739059811000064	ns	filtered-markers
c2-timing-event-v1	C2	all	d499019efb8344cf99019efb8354cf8e	DB500	unix_ns	1784739059890000128	ns	filtered-markers
c2-timing-event-v1	C2	all	d499019efb8344cf99019efb8354cf8e	DB510	unix_ns	1784739059904999936	ns	filtered-markers
c2-timing-event-v1	C2	all	8f201dd844e94dbaa01dd844e9fdba1c	DB500	unix_ns	1784739059986000128	ns	filtered-markers
c2-timing-event-v1	C2	all	8f201dd844e94dbaa01dd844e9fdba1c	DB510	unix_ns	1784739060010999808	ns	filtered-markers
c2-timing-event-v1	C2	all	0669ee531c3e43cba9ee531c3e03cb30	DB500	unix_ns	1784739060328000000	ns	filtered-markers
c2-timing-event-v1	C2	all	0669ee531c3e43cba9ee531c3e03cb30	DB510	unix_ns	1784739060346999808	ns	filtered-markers
c2-timing-event-v1	C2	all	205a75031708405e9a75031708f05e8a	DB500	unix_ns	1784739060668000000	ns	filtered-markers
